"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"J2","CON-SMA-EDGE-S","TopLayer","FP-CON-SMA-EDGE-S-MFG","74.5000","66.0000","180","CONN SMA JACK STR EDGE MNT"
"C25","100nF","BottomLayer","CAPC2013X145X50ML20T25","116.4590","94.8690","0",""
"C300","2u2","BottomLayer","FP-CC0603-DA-MFG","126.7000","73.6000","90","CAP CER 2.2UF 16V X5R 0603"
"C301","2u2","BottomLayer","FP-CC0603-DA-MFG","124.4000","73.6000","90","CAP CER 2.2UF 16V X5R 0603"
"C302","22u","BottomLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_C","113.6000","70.0000","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 16V"
"C303","22u","BottomLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_C","119.7500","75.7500","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 16V"
"C304","10uF","BottomLayer","CAPC0603(1608)100_M","122.5000","87.5000","90","CAP 10uF 6.3V ±10% 0603 (1608 Metric) Thickness 1mm SMD"
"C305","100 nF","BottomLayer","FP-C0402-BB-MFG","122.5000","85.0000","90","CAP CER 0.1UF 25V X5R 0402"
"D300","led","BottomLayer","FP-SM0402GC-MFG","110.3480","69.4791","90","LED GREEN CLEAR 0402 SMD"
"FB2","120R","BottomLayer","FP-BLM21-0_2-t0_85-e0_5-IPC_C","125.7000","76.3000","180","Chip Ferrite Bead, 0805, 60? @ 100MHz, 0.02?, 25%, 1.9A"
"J300","USB4105-GF-A-060","BottomLayer","USB4105-GF-A-060","131.3025","80.6100","270","USB Connector Type C SMT 12 Pin"
"R6","10k","BottomLayer","FP-AC0603-IPC_A","123.0000","79.0000","0","RES 10k? 5.00% 0.2W 0603"
"R300","5k","BottomLayer","FP-TFCR0603-IPC_A","132.5000","74.0000","0","RES Thin Film,  4k?, 0.1%, 0.1W, 25ppm/°C, 0603"
"R301","5k","BottomLayer","FP-TFCR0603-IPC_A","132.5000","87.0000","0","RES Thin Film,  4k?, 0.1%, 0.1W, 25ppm/°C, 0603"
"R302","1k","BottomLayer","FP-MCS0402-IPC_C","110.3000","71.7500","270","RES SMD 1.2K OHM 1% 1/10W 0402"
"U3","LDO","BottomLayer","FP-AMS1117-IPC_C","118.4654","70.5749","270","LDO Voltage Regulators 1A, 3.3V"
"U4","FT232RL-REEL","BottomLayer","FP-SSOP-28-MFG","116.7500","88.2500","0","IC USB FS SERIAL UART 28-SSOP"
"U2","STM32F407VET6","BottomLayer","STM-LQFP100_M","100.5000","86.7500","0","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 512 kB Flash, 192 kB Internal RAM, 82 I/Os, 100-pin LQFP, -40 to 85 degC, Tray"
"C4","300p","TopLayer","FP-CC0402-MFG","71.5000","84.5000","180","CC0402 330 pF X7R 10.00% 25 V"
"C3","300p","TopLayer","FP-CC0402-MFG","72.0204","86.2296","180","CC0402 330 pF X7R 10.00% 25 V"
"Y1","NX3225GD-8MHZ-STD-CRA-3","BottomLayer","NDK-NX3225GD-8MHZ-STD-CRA-3_V","86.5000","86.0500","270","Crystal Unit, 8 MHz, 8 pF, -40 to 150 degC, 2-Pin SMD, RoHS, Tape and Reel"
"U1","HMC624ALP4ETR","TopLayer","FP-CP-24-16-IPC_C","75.7500","84.5000","270","RF ATTENUATOR 31.5DB 50OHM 24QFN"
"R2","10k","BottomLayer","FP-AC0603-IPC_A","96.6000","75.4000","270","RES 10k? 5.00% 0.2W 0603"
"R1","10k","BottomLayer","FP-AC0603-IPC_A","87.8000","92.2000","270","RES 10k? 5.00% 0.2W 0603"
"P1","Programmator","BottomLayer","SMTC-TSW-104-08-X-S","100.4800","66.2500","180","0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 4-Pin, Male, RoHS"
"J1","CON-SMA-EDGE-S","TopLayer","FP-CON-SMA-EDGE-S-MFG","74.5000","103.0000","0","CONN SMA JACK STR EDGE MNT"
"FB1","BLM21PG600BH1D","BottomLayer","FP-BLM21-0_2-t0_85-e0_5-IPC_C","88.5000","96.2500","0","Chip Ferrite Bead, 0805, 60? @ 100MHz, 0.02?, 25%, 1.9A"
"C13","22p","BottomLayer","FP-C0603C-CF-MFG","83.5000","87.0500","180","C0603 22 pF X7R 30ppm/°C 10.00% 100 V"
"C12","22p","BottomLayer","FP-C0603C-CF-MFG","83.5000","85.0000","180","C0603 22 pF X7R 30ppm/°C 10.00% 100 V"
"C15","2.2p","BottomLayer","FP-CC0603-DA-MFG","104.4960","97.2500","90","CC0603 2.2 uF X7R 10.00% 10 V"
"C16","2.2p","BottomLayer","FP-CC0603-DA-MFG","110.7500","80.7500","270","CC0603 2.2 uF X7R 10.00% 10 V"
"C23","10u","BottomLayer","FP-GRM21B-0_2-e0_2_0_7-MFG","93.7000","98.7500","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 20%, 50V"
"C11","0.1u","BottomLayer","CAPC1608X92X38NL15T08","90.5000","89.2500","90",""
"C22","0.1u","BottomLayer","CAPC1608X92X38NL15T08","110.7500","77.7500","90",""
"C21","0.1u","BottomLayer","CAPC1608X92X38NL15T08","93.7000","76.5000","180",""
"C20","0.1u","BottomLayer","CAPC1608X92X38NL15T08","106.2500","97.2500","270",""
"C19","0.1u","BottomLayer","CAPC1608X92X38NL15T08","93.7500","96.7500","0",""
"C18","0.1u","BottomLayer","CAPC1608X92X38NL15T08","90.5000","84.5000","90",""
"C14","0.1u","BottomLayer","CAPC1608X92X38NL15T08","90.5000","92.7500","270",""
"C17","0.1u","BottomLayer","CAPC1608X92X38NL15T08","90.5000","81.7500","90",""
"C10","0.1u","BottomLayer","CAPC1608X92X38NL15T08","87.3250","89.0000","0",""
"C9","300p","TopLayer","FP-CC0402-MFG","74.5000","80.7500","270","CC0402 330 pF X7R 10.00% 25 V"
"C7","300p","TopLayer","FP-CC0402-MFG","71.5000","83.0000","180","CC0402 330 pF X7R 10.00% 25 V"
"C6","300p","TopLayer","FP-CC0402-MFG","71.2470","81.0260","270","CC0402 330 pF X7R 10.00% 25 V"
"C2","300p","TopLayer","FP-CC0402-MFG","72.2500","88.2500","90","CC0402 330 pF X7R 10.00% 25 V"
"C5","300p","TopLayer","FP-CC0402-MFG","72.8980","80.7720","270","CC0402 330 pF X7R 10.00% 25 V"
"C8","300p","TopLayer","FP-CC0402-MFG","74.5000","88.2500","270","CC0402 330 pF X7R 10.00% 25 V"
"C1","1n","TopLayer","FP-C0402-BB-MFG","79.0000","85.7500","270","Cap Ceramic 0.001uF 50V X7R 10% Pad SMD 0402 125C Automotive T/R"
